iso_code,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,InfectRate
CHE,214.243,43.1,18.436,12.644,57410.166,99.73899999999999,5.59,22.6,28.9,50.07239772727275,4.53,0.354053754885542
CHL,24.281999999999996,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,50.07239772727275,2.11,0.34208142419869964
CHN,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,261.899,9.74,1.9,48.4,50.07239772727275,4.34,0.005841910035733211
CIV,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,303.74,2.42,0.1,7.7,19.351,0.1,0.008969502365109166
CMR,50.885,18.8,3.165,1.919,3364.926,244.66099999999997,7.2,0.1,7.7,2.735,1.3,0.01731719864156616
COD,35.879,17.0,3.02,1.745,808.133,318.949,6.1,0.1,7.7,4.4719999999999995,0.1,0.002390538674449543
COG,15.405,19.0,3.4019999999999997,2.063,4881.406,344.094,7.2,1.7,52.3,47.964,0.1,0.008825514326328738
COL,44.223,32.2,7.646,4.312,13254.948999999999,124.24,7.44,4.7,13.5,65.38600000000001,1.71,0.03965380578663741
COM,437.352,20.4,2.963,1.726,1413.89,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,0.00896969278802201
CPV,135.58,25.7,4.46,3.437,6222.554,182.21900000000002,2.42,2.1,16.5,50.07239772727275,2.1,0.06672805887896861
CRI,96.079,33.6,9.468,5.694,15524.995,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,0.018020798121125677
CYP,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,141.171,9.24,19.6,52.7,50.07239772727275,3.4,0.10583412014398921
CZE,137.17600000000002,43.3,19.027,11.58,32605.906000000003,227.485,6.82,30.5,38.3,50.07239772727275,6.63,0.08301442658135012
DEU,237.016,46.6,21.453000000000003,15.957,45229.245,156.139,8.31,28.2,33.1,50.07239772727275,8.0,0.21278659055741525
DJI,41.285,25.4,4.213,2.38,2705.406,258.03700000000003,6.05,1.7,24.5,50.07239772727275,1.4,0.2297566199258706
DMA,98.56700000000001,30.393063583815014,8.709722543352594,5.517348837209303,9673.367,227.37599999999998,11.62,0.1,7.7,50.07239772727275,3.8,0.02222500034726563
DNK,136.52,42.3,19.677,12.325,46682.515,114.76700000000001,6.41,19.3,18.8,50.07239772727275,2.5,0.19489993703604658
DOM,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,8.5,19.1,55.181999999999995,1.6,0.13294734171688835
DZA,17.348,29.1,6.211,3.8569999999999998,13913.839,278.36400000000003,6.73,0.7,30.4,83.741,1.9,0.018501270311860087
ECU,66.939,28.1,7.104,4.458,10581.936000000002,140.44799999999998,5.55,2.0,12.3,80.635,1.5,0.20550856824156352
EGY,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,0.2,50.1,89.82700000000001,1.6,0.01623403226381259
ERI,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,311.11,6.05,0.2,11.4,50.07239772727275,0.7,0.0010996983724746061
ESP,93.105,45.5,19.436,13.799000000000001,34272.36,99.40299999999999,7.17,27.4,31.4,50.07239772727275,2.97,0.5032426308127663
EST,31.033,42.7,19.452,13.491,29481.252,255.56900000000002,4.02,24.5,39.3,50.07239772727275,4.69,0.13727451661805645
ETH,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,182.63400000000001,7.47,0.4,8.5,7.96,0.3,0.0004297012907122075
FIN,18.136,42.8,21.228,13.264000000000001,40585.721,153.507,5.76,18.3,22.6,50.07239772727275,3.28,0.11854059347543044
FJI,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,50.07239772727275,2.3,0.0020079335686334003
FRA,122.57799999999999,42.0,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,50.07239772727275,5.98,0.2218449652287746
GAB,7.859,23.1,4.45,2.9760000000000004,16562.413,259.967,7.2,0.1,7.7,50.07239772727275,6.3,0.08689291773298444
GBR,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,122.137,4.28,20.0,24.7,50.07239772727275,2.54,0.37444389862746963
GEO,65.032,38.7,14.864,10.244000000000002,9745.079,496.218,7.11,5.3,55.5,50.07239772727275,2.6,0.01824938740466387
GHA,126.719,21.1,3.385,1.9480000000000002,4227.63,298.245,4.97,0.3,7.7,41.047,0.9,0.021295052657545013
GIN,51.755,19.0,3.135,1.733,1998.9260000000002,336.717,2.42,0.1,7.7,17.45,0.3,0.02418373792869026
GMB,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,331.43,1.91,0.7,31.2,7.876,1.1,0.0010344839001201656
GNB,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,0.1,7.7,6.403,0.1,0.056605748583077826
GNQ,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,202.812,7.78,0.1,7.7,24.64,2.1,0.07434149331603689
GRC,83.479,45.3,20.396,14.524000000000001,24574.382,175.695,4.55,35.3,52.0,50.07239772727275,4.21,0.02759267531518587
GRD,317.132,29.4,7.303999999999999,5.021,13593.877,243.96400000000003,10.71,0.1,7.7,50.07239772727275,3.7,0.01955225339720403
GTM,157.834,22.9,4.694,3.016,7423.808000000001,155.898,10.18,0.1,7.7,76.665,0.6,0.017046627661854073
GUY,3.952,26.3,5.305,2.8369999999999997,7435.047,373.159,11.62,0.1,7.7,77.15899999999999,1.6,0.01614627764732207
HND,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,7.7,84.169,0.7,0.03779049105224558
HRV,73.726,44.0,19.724,13.052999999999999,22669.797000000002,253.782,5.59,34.3,39.9,50.07239772727275,5.54,0.05463711504340277
HTI,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,430.548,6.65,2.9,23.1,22.863000000000003,0.7,0.00758603373478507
HUN,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,278.296,7.55,26.8,34.8,50.07239772727275,7.02,0.038725304983773884
IDN,145.725,29.3,5.319,3.053,11188.743999999999,342.86400000000003,6.32,2.8,76.1,64.204,1.04,0.007949953251021052
IND,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,282.28,10.39,1.9,20.6,59.55,0.53,0.009555621810578523
IRL,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,126.459,3.28,23.0,25.7,50.07239772727275,2.96,0.49783344633921695
